name,communes,regions,pays,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,timeofday,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",Saint-Martin-du-Mont(Ain),Auvergne-Rhône-Alpes,France,2024-12-28,36.8,27.3,30.1,36.8,24.2,29.9,29,95.6,0,0,0,,0,0,3.6,3.2,353.8,1031.6,74.9,7.9,63.6,5.4,3,10,2024-12-28 08:20:47,2024-12-28 17:00:21,8.7,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",Clacy-et-Thierret,Hauts-de-France,France,2024-12-28,31.9,28.3,30.5,31.5,22,28.1,29.9,97.6,0.004,0,4.17,"rain,snow",0,0,8.1,5.8,159.9,1030.4,97.3,10.3,54.8,4.7,3,10,2024-12-28 08:42:09,2024-12-28 16:53:03,8.2,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"F5929,LFAQ,remote"
"Treban, Auvergne-Rhône-Alpes, France",Treban,Auvergne-Rhône-Alpes,France,2024-12-28,44.3,29,34.7,44.3,24.4,33,30.7,85.7,0,0,0,,0,0,5.6,4.8,307.6,1030.3,50,9.9,70.8,6,3,10,2024-12-28 08:30:34,2024-12-28 17:07:48,8.6,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LFLC,LFQG,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,2024-12-28,52.6,24.7,36.4,52.6,24.7,34.9,27.8,72.8,0,0,0,,0,0.2,12.5,6,84.8,1028.9,4.4,11.3,84.9,7.4,4,10,2024-12-28 08:09:45,2024-12-28 17:04:06,8.9,0.92,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMC,remote"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,France,2024-12-28,42.7,33.5,36.7,42.7,27.1,32.2,19.4,49.2,0,0,0,,0,5.7,13.6,8.1,49.1,1028.1,5.2,14.9,86.4,7.5,4,10,2024-12-28 08:11:50,2024-12-28 17:02:05,8.8,0.92,Clear,Clear conditions throughout the day.,clear-day,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",Massoins,Provence-Alpes-Côte d'Azur,France,2024-12-28,56.6,35.1,44.5,56.6,30.7,40.9,29.2,56.7,0,0,0,,0,0.1,10.1,12.4,326.3,1028,10.6,10.6,81.5,7.2,4,10,2024-12-28 08:05:40,2024-12-28 17:01:05,8.9,0.92,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",Saint-Joseph-des-Bancs,Auvergne-Rhône-Alpes,France,2024-12-28,54.4,23.7,37.7,54.4,23.7,36.7,28.1,71.3,0,0,0,,0,0,11.4,6,24.6,1029.3,0,10.3,80.6,6.9,4,10,2024-12-28 08:19:21,2024-12-28 17:09:06,8.8,0.92,Clear,Clear conditions throughout the day.,clear-day,"LFHP,LFMO"
"Mazerny, Grand Est, France",Mazerny,Grand Est,France,2024-12-28,33.7,28.3,31,31.9,24.6,28.3,29.2,93.2,0,0,0,,0,0,8.5,4.7,141.6,1030.3,93.3,11.3,54.8,4.7,3,10,2024-12-28 08:38:16,2024-12-28 16:48:36,8.2,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"F0693,EBFS,remote"
"Brassac, Occitanie, France",Brassac,Occitanie,France,2024-12-28,54.4,27,40.1,54.4,25.8,39.7,30.8,72.6,0,0,0,,0,0,16.3,4,353.3,1029.3,0,11,81,7.1,4,10,2024-12-28 08:23:05,2024-12-28 17:20:41,9.0,0.92,Clear,Clear conditions throughout the day.,clear-day,"LFMU,C4848,E4692,D5042,LFMK"
"Villechétif, Grand Est, France",Villechétif,Grand Est,France,2024-12-28,32.6,28.1,30,32.6,22.9,28.6,29.9,99.8,0,0,0,,0,0,5.1,4.6,189.8,1030.8,99.9,8.3,59,5.2,3,10,2024-12-28 08:34:26,2024-12-28 16:56:10,8.4,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"LFSI,LFOK,LFQB,E8061"
