name,communes,regions,pays,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,timeofday,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",Saint-Martin-du-Mont(Ain),Auvergne-Rhône-Alpes,France,2024-12-10,40.7,34.1,38.8,40.5,32.2,35.6,34.5,84.5,0,0,0,,0,0,9.2,10,346,1019.1,85.1,10.6,31.8,2.8,2,10,2024-12-10 08:10:28,2024-12-10 16:52:53,8.7,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",Clacy-et-Thierret,Hauts-de-France,France,2024-12-10,42.7,40.5,41.3,37,32.4,34.9,38.2,88.7,0.032,100,25,rain,0,0,22.1,17.2,34.7,1026.5,99.9,10.8,6.6,0.7,0,10,2024-12-10 08:31:35,2024-12-10 16:45:48,8.2,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"F5929,LFAQ"
"Treban, Auvergne-Rhône-Alpes, France",Treban,Auvergne-Rhône-Alpes,France,2024-12-10,39.1,35.9,37.5,33.4,29.6,32.2,33.8,86.7,0.028,100,29.17,"rain,snow",0,0,19,9.9,7.7,1020.4,97.1,9.9,19.4,1.6,1,10,2024-12-10 08:20:14,2024-12-10 17:00:21,8.7,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"LFLC,LFQG,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,2024-12-10,42.2,30.1,35.9,42.2,27.5,35.2,31.2,83.9,0,0,0,,0,0,9.2,4.3,86.9,1015.6,30.8,11,82.4,7.3,4,10,2024-12-10 07:59:33,2024-12-10 16:56:32,8.9,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5975,LFMC"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,France,2024-12-10,32.4,25.2,27.8,32.4,19,23.7,19,69.1,0,0,0,,0,2,15,6.5,45.1,1016.2,20.4,14,73,6.1,3,10,2024-12-10 08:01:36,2024-12-10 16:54:33,8.9,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",Massoins,Provence-Alpes-Côte d'Azur,France,2024-12-10,47.9,30.1,40.9,46.7,26.1,37.4,33.9,76.6,0,0,0,,0,0.3,8.3,11.4,327.2,1015.4,59.3,9.9,81.8,7,4,10,2024-12-10 07:55:28,2024-12-10 16:53:30,9.0,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",Saint-Joseph-des-Bancs,Auvergne-Rhône-Alpes,France,2024-12-10,42.7,34.1,38.9,35.6,27.8,32.2,32.4,77.3,0,9.7,0,,0,0,22.8,20.8,4.5,1017,51.9,10.3,60.8,5.4,3,10,2024-12-10 08:09:07,2024-12-10 17:01:34,8.9,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFHP,LFMO"
"Mazerny, Grand Est, France",Mazerny,Grand Est,France,2024-12-10,42.7,37.3,39.9,37.2,27.7,32.9,36.8,88.9,0.008,0,8.33,rain,0,0,21.5,17.2,42.6,1025.6,96.3,10.6,5.3,0.5,0,10,2024-12-10 08:27:42,2024-12-10 16:41:22,8.2,0.33,Overcast,Cloudy skies throughout the day.,cloudy,"F0693,EBFS,F8085"
"Brassac, Occitanie, France",Brassac,Occitanie,France,2024-12-10,44.2,32.4,38,38.4,28,33.5,35,89.2,0.096,100,50,"rain,snow",0,0,25.5,11.4,284.1,1019.1,98.2,7.8,18.3,1.5,1,10,2024-12-10 08:12:55,2024-12-10 17:13:04,9.0,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"LFMU,C4848,E4692,D5042,LFMK"
"Villechétif, Grand Est, France",Villechétif,Grand Est,France,2024-12-10,42.6,39,40.6,37.1,32.7,34.7,34.6,79.1,0.004,29,4.17,rain,0,0,19.9,12.7,38.1,1023.3,99.2,10.6,8.4,0.7,0,10,2024-12-10 08:23:57,2024-12-10 16:48:50,8.4,0.33,Overcast,Cloudy skies throughout the day.,cloudy,"LFSI,LFOK,LFQB,E8061"
