name,communes,regions,pays,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,timeofday,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",Saint-Martin-du-Mont(Ain),Auvergne-Rhône-Alpes,France,2024-11-29,45.1,36.9,40.3,40.7,34.2,38.1,38.3,92.7,0,0,0,,0,0,10.5,10.3,352,1028.4,93.3,10,71.8,6.2,3,10,2024-11-29 07:58:36,2024-11-29 16:55:31,8.9,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",Clacy-et-Thierret,Hauts-de-France,France,2024-11-29,43.1,31.9,36.6,38.8,26.3,32.1,34.5,92.4,0,0,0,,0,0,16.6,8.1,119,1029.9,63.6,10.3,60.3,5.3,3,10,2024-11-29 08:18:33,2024-11-29 16:49:34,8.5,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F5929,LFAQ"
"Treban, Auvergne-Rhône-Alpes, France",Treban,Auvergne-Rhône-Alpes,France,2024-11-29,46.1,36.3,40.3,43.6,33,38.6,38.5,93.5,0,0,0,,0,0,13.4,6.9,65.1,1027.4,81.8,10.9,81.2,6.9,4,10,2024-11-29 08:08:16,2024-11-29 17:03:03,8.9,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLC,LFQG,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,2024-11-29,52.6,39.1,45.4,52.6,36.5,45.3,42.1,88.6,0,0,0,,0,0,11,4.5,152.1,1023.9,16.7,11.7,89.4,7.7,4,10,2024-11-29 07:48:16,2024-11-29 16:58:35,9.2,0.94,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMC"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,France,2024-11-29,44.1,35.3,39,44.1,31.1,36,21.7,51,0,0,0,,0,0.3,13.2,6.3,54.5,1023.6,0.1,15,98.7,8.4,4,10,2024-11-29 07:50:09,2024-11-29 16:56:45,9.1,0.94,Clear,Clear conditions throughout the day.,clear-day,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",Massoins,Provence-Alpes-Côte d'Azur,France,2024-11-29,57.3,40.5,50,57.3,37.9,48.5,45.2,84.3,0,0,0,,0,0.1,8.9,10.6,323.1,1023.6,57.6,11.5,88.1,7.6,4,10,2024-11-29 07:44:14,2024-11-29 16:55:30,9.2,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",Saint-Joseph-des-Bancs,Auvergne-Rhône-Alpes,France,2024-11-29,54.2,37.7,47.9,54.2,33.3,45.2,41.1,78.6,0,0,0,,0,0,14.1,24.2,4,1025.2,33,11.1,86,7.5,4,10,2024-11-29 07:57:39,2024-11-29 17:03:47,9.1,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFHP,LFMO"
"Mazerny, Grand Est, France",Mazerny,Grand Est,France,2024-11-29,43.2,28.3,35.1,38.1,24.6,30.8,32.9,91.9,0,0,0,,0,0,17.7,10.3,92,1030.7,68.1,10.1,63.5,5.6,3,10,2024-11-29 08:14:38,2024-11-29 16:45:10,8.5,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0693,EBFS,remote"
"Brassac, Occitanie, France",Brassac,Occitanie,France,2024-11-29,62.1,37.8,47.9,62.1,37.8,47.6,43.7,86.9,0,0,0,,0,0,11.4,4,131.7,1024.4,6.3,11.3,88.4,7.7,4,10,2024-11-29 08:01:45,2024-11-29 17:14:59,9.2,0.94,Clear,Clear conditions throughout the day.,clear-day,"LFMU,C4848,E4692,D5042,LFMK"
"Villechétif, Grand Est, France",Villechétif,Grand Est,France,2024-11-29,45.6,28.2,35.2,42,23.6,33.3,32.6,90.4,0,0,0,,0,0,11.6,6.7,82.8,1029.5,57.7,10.4,70,6,3,10,2024-11-29 08:11:22,2024-11-29 16:52:10,8.7,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFSI,LFOK,LFQB,E8061"
