name,communes,regions,pays,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,timeofday,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",Saint-Martin-du-Mont(Ain),Auvergne-Rhône-Alpes,France,2025-01-03,43,28.8,36.4,38.5,25.1,30.6,33.5,89.3,0.051,100,8.33,"rain,snow",0,0,18.6,10.7,352.6,1022.7,65.1,11.3,60,5.2,3,10,2025-01-03 08:21:08,2025-01-03 17:05:46,8.7,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",Clacy-et-Thierret,Hauts-de-France,France,2025-01-03,36.4,28.3,31.1,31.1,21.1,26.7,28.2,89.2,0,0,0,,0,0,14.1,8.1,262.3,1023.8,37,11.7,57.9,5.1,3,10,2025-01-03 08:42:06,2025-01-03 16:58:53,8.3,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F5929,LFAQ"
"Treban, Auvergne-Rhône-Alpes, France",Treban,Auvergne-Rhône-Alpes,France,2025-01-03,38,29.9,35.2,36.6,26.5,32.2,33,91.6,0,0,0,rain,0,0,11.9,8.1,43.3,1023.6,82.7,10.7,36.3,3.1,2,10,2025-01-03 08:30:53,2025-01-03 17:13:15,8.7,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLC,LFQG,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,2025-01-03,49.9,31.2,41.2,44.9,27.1,37.3,35.1,79.2,0.004,100,4.17,rain,0,0.1,27.1,18.3,273.2,1017,50.6,11.1,82.1,7.1,4,10,2025-01-03 08:10:18,2025-01-03 17:09:19,9.0,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E5975,LFMC"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,France,2025-01-03,32.1,24.3,28.7,29.7,17.7,26.3,20.3,73.9,0.094,100,20.83,"rain,snow",0.7,8.1,15.2,5.4,2.4,1018.7,63.8,8.7,82.6,7.1,4,10,2025-01-03 08:12:20,2025-01-03 17:07:21,8.9,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",Massoins,Provence-Alpes-Côte d'Azur,France,2025-01-03,51.4,33,45.3,51.4,29,43.4,36.4,71.6,0,0,0,,0,0.1,35.8,25.8,245.3,1014.3,57.4,11.3,81.9,7.2,4,10,2025-01-03 08:06:14,2025-01-03 17:06:16,9.0,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",Saint-Joseph-des-Bancs,Auvergne-Rhône-Alpes,France,2025-01-03,46.3,32.4,39.9,46.3,26.2,33.9,32.2,74.6,0.024,100,20.83,rain,0,0,28.9,18.3,8.8,1020.6,86.1,11.1,69.6,6.1,4,10,2025-01-03 08:19:50,2025-01-03 17:14:22,8.9,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LFHP,LFMO"
"Mazerny, Grand Est, France",Mazerny,Grand Est,France,2025-01-03,33.3,28.3,30.6,31.2,22,25.7,28.6,92.1,0,0,0,,0,0,13.6,9.2,264.6,1022.7,67.1,11.3,58,5,3,10,2025-01-03 08:38:12,2025-01-03 16:54:27,8.3,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EBFS,F8085"
"Brassac, Occitanie, France",Brassac,Occitanie,France,2025-01-03,52.2,40.4,45.2,52.2,38.3,43.7,41.3,86.6,0.21,100,54.17,rain,0,0,25.5,12,280.6,1020.7,99.1,10.8,8,0.7,1,10,2025-01-03 08:23:40,2025-01-03 17:25:50,9.0,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"LFMU,C4848,E4692,LFMK"
"Villechétif, Grand Est, France",Villechétif,Grand Est,France,2025-01-03,36.4,30,33.6,34.4,25.4,30.6,31.5,91.9,0.004,100,4.17,"rain,snow",0,0,7.8,7.7,295.1,1024.4,75.3,10.3,65.2,5.7,3,10,2025-01-03 08:34:31,2025-01-03 17:01:51,8.5,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"LFSI,LFOK,LFQB,E8061"
"Ladern-sur-Lauquet, Occitanie, France",Ladern-sur-Lauquet,Occitanie,France,2025-01-03,51.5,46.1,48,51.5,44.4,46.2,43.4,84.4,0.072,100,45.83,rain,0,0,30.4,8.4,263.6,1020.7,97.2,11.3,65.1,5.6,4,10,2025-01-03 08:22:30,2025-01-03 17:28:11,9.1,0.13,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"C4848,E4692,LFMK,LFMP"
"Pont-de-Salars, Occitanie, France",Pont-de-Salars,Occitanie,France,2025-01-03,42.7,34.8,38.5,38.7,31.6,35.5,36.8,93.8,0.226,100,54.17,rain,0,0,26.4,15,300,1020.7,97.5,10.7,33.5,3.1,2,10,2025-01-03 08:25:00,2025-01-03 17:22:42,9.0,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,LFCR
"Saint-Chamas, Provence-Alpes-Côte d'Azur, France",Saint-Chamas,Provence-Alpes-Côte d'Azur,France,2025-01-03,48.6,40.7,45.2,46.8,33.6,39.8,38.2,77.3,0.024,100,12.5,rain,0,0,34.7,24.4,331.2,1018.8,56.5,10.8,81.3,6.8,4,10,2025-01-03 08:13:16,2025-01-03 17:15:58,9.0,0.13,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"LFMV,LFMY,LFMI,E6174,LFML"
"May-sur-Orne, Normandie, France",May-sur-Orne,Normandie,France,2025-01-03,40.5,29.6,33.6,40.5,24.4,31.1,30.3,87.8,0,0,0,,0,0,6.5,9,261.9,1025,41.8,11.3,57.3,5,3,10,2025-01-03 08:55:56,2025-01-03 17:16:37,8.3,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LFRK,LFOH,LFRG"
"Thiézac, Auvergne-Rhône-Alpes, France",Thiézac,Auvergne-Rhône-Alpes,France,2025-01-03,42.7,31,36.4,37.9,26.2,32.8,32.3,85.8,0.178,100,33.33,"rain,snow",0,1.7,19.2,15,287.5,1021.2,96.1,10.5,59.4,5.2,3,10,2025-01-03 08:27:48,2025-01-03 17:20:23,8.9,0.13,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,LFCR
"Champniers, Nouvelle-Aquitaine, France",Champniers,Nouvelle-Aquitaine,France,2025-01-03,42.7,39.1,41,40.9,34.1,37.5,38.5,91.2,0.104,100,41.67,rain,0,0,16.6,9.4,47,1022.4,98.4,10.8,37,3.1,2,10,2025-01-03 08:40:11,2025-01-03 17:27:42,8.8,0.13,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"AV387,LFBL,LFBG,LFBU"
"Saint-Georges-des-Coteaux, Nouvelle-Aquitaine, France",Saint-Georges-des-Coteaux,Nouvelle-Aquitaine,France,2025-01-03,42.8,39.6,41.6,42.8,33.6,37.6,39.5,92.1,0.264,100,75,rain,0,0,18.1,10.7,64.8,1022.5,97.6,10.8,12.6,1.2,1,10,2025-01-03 08:44:02,2025-01-03 17:31:11,8.8,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"LFBH,D6101,LFBG,LFBU"
"Osmoy, Île-de-France, France",Osmoy,Île-de-France,France,2025-01-03,37.7,26,31.6,36.6,22.1,29.5,29.1,90.7,0,0,0,,0,0,10.5,5,287.2,1024.6,41.7,10,61.9,5.6,3,10,2025-01-03 08:46:34,2025-01-03 17:09:14,8.4,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D3543,LFPV,LFOE,LFPN,LFPT"
"Corrèze, Nouvelle-Aquitaine, France",Corrèze,Nouvelle-Aquitaine,France,2025-01-03,42.5,33.7,38.2,40,29.6,35,34.2,86,0.036,100,16.67,rain,0,0,14.8,8.3,25.5,1021.7,96.2,11.2,47,4.2,2,10,2025-01-03 08:32:16,2025-01-03 17:22:16,8.8,0.13,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"LFSL,LFBL"
"Santa-Maria-Siché, Corse, France",Santa-Maria-Siché,Corse,France,2025-01-03,57.1,40.5,48.7,57.1,40.5,46.5,44.5,85.5,0.747,100,87.5,rain,0,0,55.7,13.2,293.3,1018.4,95.8,5.4,4.7,0.4,0,10,2025-01-03 07:52:02,2025-01-03 17:05:38,9.2,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LFKS,LFKC,LFKF,LFKJ"
"Érone, Corse, France",Érone,Corse,France,2025-01-03,58.3,39.6,50.3,58.3,37.6,49.8,38.9,65.6,0.024,100,25,rain,0,0,39.1,14.3,244.2,1015.1,72.4,11,43.9,3.7,3,10,2025-01-03 07:52:26,2025-01-03 17:02:52,9.2,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LFKC,LFKS,LFKB,LFKJ"
"Saint-Martin-du-Mont, Bourgogne-Franche-Comté, France",Saint-Martin-du-Mont(Cote d'Or),Bourgogne-Franche-Comté,France,2025-01-03,35.5,27.8,32.5,32.8,26.6,29.2,29.4,88.3,0,0,0,snow,0,0.4,12.8,8.1,352.1,1024.1,66.1,11.3,67,5.8,3,10,2025-01-03 08:28:25,2025-01-03 17:02:49,8.6,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFSD,E8061,LFGJ"
"Plaine-Haute, Bretagne, France",Plaine-Haute,Bretagne,France,2025-01-03,39.1,30.6,35.3,36.9,27.5,32.3,30.4,82.6,0,3.2,0,,0,0,13.6,6.5,89.2,1025.1,81.6,11.3,50.1,4.1,2,10,2025-01-03 09:03:05,2025-01-03 17:29:17,8.4,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFRO,F3057,LFRD,LFRT"
