name,communes,regions,pays,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,timeofday,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",Saint-Martin-du-Mont(Ain),Auvergne-Rhône-Alpes,France,2024-11-16,53,33.6,40.7,53,30.2,39.8,38.1,90.9,0,0,0,,0,0,9.4,4.1,151.8,1022.2,76.8,6.8,75.2,6.4,4,10,2024-11-16 07:41:23,2024-11-16 17:05:17,9.4,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E4885,LFLB,LFLY,LSGG,F0384,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",Clacy-et-Thierret,Hauts-de-France,France,2024-11-16,46.8,42.7,44.1,44.5,39,41.3,38.7,81.1,0,0,0,,0,0,14.5,11.4,204.3,1020.8,92.3,9.5,31.4,2.7,3,10,2024-11-16 07:59:15,2024-11-16 17:01:25,9.0,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"F5929,LFAQ,remote"
"Treban, Auvergne-Rhône-Alpes, France",Treban,Auvergne-Rhône-Alpes,France,2024-11-16,52.6,33.9,41.1,52.6,29.9,39,36.9,85.8,0,0,0,,0,0,8.5,5.8,157.8,1021.3,64.8,7.9,84.5,7.3,4,10,2024-11-16 07:50:54,2024-11-16 17:13:00,9.4,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFLC,LFQG,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,2024-11-16,62.5,33.7,42.7,62.5,33.7,42.7,37.4,82.8,0,0,0,,0,0,12.5,11.4,252.4,1022.5,9.4,9.9,95.3,8.3,5,10,2024-11-16 07:32:06,2024-11-16 17:07:19,9.6,0.52,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMC,remote"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,France,2024-11-16,46.7,35.9,40.1,46.3,32.5,37.9,19.5,43.7,0,0,0,,0,0.1,12.8,6,45.3,1021.8,0.1,15,112.8,9.7,5,10,2024-11-16 07:33:42,2024-11-16 17:05:46,9.5,0.52,Clear,Clear conditions throughout the day.,clear-day,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",Massoins,Provence-Alpes-Côte d'Azur,France,2024-11-16,61.9,37.7,48,61.9,35.1,45.5,40,74.7,0,0,0,,0,0.1,9.2,12.8,322.8,1021.8,20.5,8.9,90.7,7.9,4,10,2024-11-16 07:28:08,2024-11-16 17:04:10,9.6,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",Saint-Joseph-des-Bancs,Auvergne-Rhône-Alpes,France,2024-11-16,54.9,25.9,41.1,54.9,25.2,40.4,37,86.6,0,0,0,,0,0,10.7,4.7,354.1,1022.2,52.2,9.1,98.4,8.6,4,10,2024-11-16 07:41:10,2024-11-16 17:12:50,9.5,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFHP,LFMO"
"Mazerny, Grand Est, France",Mazerny,Grand Est,France,2024-11-16,44.7,39.1,41.2,41.3,34.1,37.6,35.6,80.3,0,0,0,,0,0,10.3,11.4,219.5,1020.5,90.9,9.5,36.5,3.2,2,10,2024-11-16 07:55:18,2024-11-16 16:57:03,9.0,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"F0693,EBFS,remote,F8085"
"Brassac, Occitanie, France",Brassac,Occitanie,France,2024-11-16,58.4,41.9,48.6,58.4,39.2,47.3,42.5,80.1,0,0,0,,0,0,24.6,10.5,77.6,1021.5,66,9.1,12.8,1.1,2,10,2024-11-16 07:45:49,2024-11-16 17:23:30,9.6,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LFMU,C4848,E4692,D5042,LFMK"
"Villechétif, Grand Est, France",Villechétif,Grand Est,France,2024-11-16,45.8,34.1,40.4,43.2,27,37.3,37.7,90.2,0,0,0,,0,0,9.2,8.8,186.8,1021.7,98.7,7.7,16.8,1.3,2,10,2024-11-16 07:52:52,2024-11-16 17:03:13,9.2,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"LFSI,LFOK,LFQB,E8061"
