name,communes,regions,pays,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,timeofday,moonphase,conditions,description,icon,stations
"Saint-Martin-du-Mont, Auvergne-Rhône-Alpes, France",Saint-Martin-du-Mont(Ain),Auvergne-Rhône-Alpes,France,2024-12-26,33.5,26.7,30,33.5,25,29.3,28.5,93.9,0,0,0,,0,0,4,3.6,25.8,1033.6,74.8,10.2,71.8,6.2,3,10,2024-12-26 08:20:18,2024-12-26 16:58:51,8.6,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E4885,LFLB,LFLY,LSGG,LFLL"
"Clacy-et-Thierret, Hauts-de-France, France",Clacy-et-Thierret,Hauts-de-France,France,2024-12-26,48.6,38.9,44.1,46.2,36.3,42.5,42.8,95.4,0,0,0,,0,0,11.6,9.2,88.5,1034.5,75.6,9.7,50.3,4.5,2,10,2024-12-26 08:41:46,2024-12-26 16:51:27,8.2,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F5929,LFAQ"
"Treban, Auvergne-Rhône-Alpes, France",Treban,Auvergne-Rhône-Alpes,France,2024-12-26,41.7,32.3,36.3,41.7,30.9,34.8,34,91.6,0,0,0,,0,0,10.7,5.6,67.5,1032.5,50.6,9.9,70.9,6.1,3,10,2024-12-26 08:30:06,2024-12-26 17:06:17,8.6,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LFLC,LFQG,LFLV,LFLN"
"Digne-les-Bains, Provence-Alpes-Côte d'Azur, France",Digne-les-Bains,Provence-Alpes-Côte d'Azur,France,2024-12-26,45.9,21.1,33.3,45.9,21.1,32,25.3,73.8,0,0,0,,0,0.2,13.2,5.6,84.6,1030.8,4.2,11.3,84.9,7.3,4,10,2024-12-26 08:09:14,2024-12-26 17:02:38,8.9,0.86,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMC"
"Saint-Jean-Saint-Nicolas, Provence-Alpes-Côte d'Azur, France",Saint-Jean-Saint-Nicolas,Provence-Alpes-Côte d'Azur,France,2024-12-26,39.8,30.1,33.3,39.8,23.6,29.6,16.7,50.2,0,0,0,,0,6,15.4,8.1,55.8,1029.3,2.6,14.4,85,7.3,4,10,2024-12-26 08:11:19,2024-12-26 17:00:37,8.8,0.86,Clear,Clear conditions throughout the day.,clear-day,remote
"Massoins, Provence-Alpes-Côte d'Azur, France",Massoins,Provence-Alpes-Côte d'Azur,France,2024-12-26,52.4,30.3,40.9,52.4,24.9,36.4,24,52,0,0,0,,0,0.1,9.8,15.3,324.3,1029.8,1,11,85.8,7.4,4,10,2024-12-26 08:05:08,2024-12-26 16:59:37,8.9,0.86,Clear,Clear conditions throughout the day.,clear-day,"E5975,LFMD,LFMN,LIMZ"
"Saint-Joseph-des-Bancs, Auvergne-Rhône-Alpes, France",Saint-Joseph-des-Bancs,Auvergne-Rhône-Alpes,France,2024-12-26,47.9,28.6,39.1,47.9,28.6,36.2,28.6,67,0,0,0,,0,0,31.1,18.3,13,1031,16.7,10.8,79.8,6.9,4,10,2024-12-26 08:18:51,2024-12-26 17:07:38,8.8,0.86,Clear,Clear conditions throughout the day.,clear-day,"LFHP,LFMO"
"Mazerny, Grand Est, France",Mazerny,Grand Est,France,2024-12-26,48.1,37.3,41.6,44.8,32.7,38.9,39.5,92.5,0,0,0,,0,0,13.9,8.3,72.7,1034.7,52.3,8.8,50.9,4.5,3,10,2024-12-26 08:37:53,2024-12-26 16:47:01,8.2,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F0693,EBFS,F8085"
"Brassac, Occitanie, France",Brassac,Occitanie,France,2024-12-26,47.4,39.1,42.4,44.2,37.4,40,33.8,74.4,0,0,0,,0,0,23,7.2,106.5,1029.9,44.9,9.9,80,6.8,4,10,2024-12-26 08:22:33,2024-12-26 17:19:13,8.9,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LFMU,C4848,E4692,D5042,LFMK"
"Villechétif, Grand Est, France",Villechétif,Grand Est,France,2024-12-26,44.3,32,37.4,41.6,28.9,35.8,34.7,90.4,0,0,0,,0,0,9.8,5.6,26.4,1034,43.3,9.7,57.1,4.9,3,10,2024-12-26 08:34:00,2024-12-26 16:54:37,8.3,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LFSI,LFOK,LFQB,E8061"
"Ladern-sur-Lauquet, Occitanie, France",Ladern-sur-Lauquet,Occitanie,France,2024-12-26,50.3,40,44.8,50.3,37.9,43.1,41.9,89.9,0,0,0,,0,0,17,7.7,99.5,1029.7,68.8,9.8,78.3,6.7,4,10,2024-12-26 08:21:19,2024-12-26 17:21:37,9.0,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C4848,E4692,D5042,LFMK,LFMP"
"Pont-de-Salars, Occitanie, France",Pont-de-Salars,Occitanie,France,2024-12-26,46.7,26.5,36.3,43,23,33.4,26.6,71.9,0,0,0,,0,0,15.9,7.8,119.1,1029.6,5.3,10.9,82.3,7,4,10,2024-12-26 08:23:57,2024-12-26 17:16:01,8.9,0.86,Clear,Clear conditions throughout the day.,clear-day,LFCR
"Saint-Chamas, Provence-Alpes-Côte d'Azur, France",Saint-Chamas,Provence-Alpes-Côte d'Azur,France,2024-12-26,56,28.6,41.7,56,23.8,39.3,30.8,67.1,0,0,0,,0,0,8.5,5.8,9.4,1029.8,6,11,86,7.4,4,10,2024-12-26 08:12:08,2024-12-26 17:09:22,9.0,0.86,Clear,Clear conditions throughout the day.,clear-day,"LFMV,LFMY,LFMI,E6174,LFML"
"May-sur-Orne, Normandie, France",May-sur-Orne,Normandie,France,2024-12-26,48.3,42.8,45.7,47.7,38.6,43.7,44.9,97.1,0,0,0,,0,0,9.4,9,90.4,1034.2,98.1,10.1,46.3,3.9,2,10,2024-12-26 08:55:32,2024-12-26 17:09:15,8.2,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"LFRK,LFOH,LFRG"
"Thiézac, Auvergne-Rhône-Alpes, France",Thiézac,Auvergne-Rhône-Alpes,France,2024-12-26,48.3,26.5,36.5,48.3,23,34.3,26.9,72.1,0,0,0,,0,1.1,14.1,5.8,95.2,1029.6,4.2,10.9,81.6,7,4,10,2024-12-26 08:26:51,2024-12-26 17:13:36,8.8,0.86,Clear,Clear conditions throughout the day.,clear-day,LFCR
"Champniers, Nouvelle-Aquitaine, France",Champniers,Nouvelle-Aquitaine,France,2024-12-26,50.1,37.8,44.6,50.1,33.4,41.7,41.3,88.3,0,0,0,,0,0,14.8,13.9,31.2,1030.3,46.7,11,74,6.3,3,10,2024-12-26 08:39:18,2024-12-26 17:20:49,8.7,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AV387,LFBL,LFBG,LFBU"
